company_name,domain,headcount,hq_country,hq_state,sources,source_count,overlap_status,disqualified,disqualification_reason
Apertura Gene Therapy,aperturagtx.com,12,US,NY,exa|explorium,2,new,false,
Latus Bio,latusbio.com,,US,PA,explorium|perplexity,2,new,false,
PackGene Biotech Inc,packgene.com,42,US,TX,exa|explorium,2,new,false,
Remedium Bio,remedium-bio.com,15,US,,exa|explorium,2,new,false,
Siren Biotechnology,sirenbiotechnology.com,9,US,CA,exa|explorium,2,new,false,
Spirovant Sciences Inc,spirovant.com,12,US,PA,exa|explorium,2,new,true,top-pharma-subsidiary: Sumitomo Pharma
VVector Bio,vvectorbio.com,4,CA,QC,exa|explorium,2,new,false,
Vironexis Biotherapeutics,vironexis.com,14,US,CA,exa|explorium,2,new,false,
nVector Inc,nvector.com,3,US,AZ,exa|explorium,2,new,false,
AAV Gene Therapeutics,aavgenetherapeutics.com,3,US,,exa,1,new,false,
AAVnerGene Inc,aavnergene.com,6,US,MD,exa,1,new,false,
ASC Therapeutics,asctherapeutics.com,,US,CA,explorium,1,new,false,
Aavogen,aavogen.com,5,US,MD,exa,1,new,false,
Aspa Therapeutics,aspatx.com,,US,,explorium,1,new,false,
BRC Biotechnology,brcbiotech.com,6,US,MA,exa,1,new,false,
Bedrock Therapeutics,bedrocktherapeutics.com,,US,NC,exa,1,new,false,
BioViva USA Inc,bioviva-science.com,,US,,explorium,1,new,false,
Biogate Laboratories,biogatelab.com,5,CA,BC,exa,1,new,false,
COSCIENS Biopharma,cosciensbio.com,6,CA,ON,exa,1,new,false,
Capsigen,capsigen.com,,US,,explorium,1,new,false,
Cellentia,cellentiabio.com,,US,,explorium,1,new,false,
Coave Therapeutics,coavetx.com,36,,,exa,1,new,false,verify: HQ may be France
Eikonoklastes Therapeutics,eikonoklastes.com,,US,,explorium,1,new,false,
Elisigen,neuraclegen.com,10,US,,exa,1,new,false,
Elixirgen Therapeutics,elixirgentx.com,,US,,explorium,1,new,false,
Exegenesis Bio,exegenesisbio.com,11,US,PA,exa,1,new,false,
Fuse Vectors,fusevectors.com,12,US,,exa,1,new,false,
GEMMA Biotherapeutics,gemmabiotx.com,58,US,PA,exa,1,new,false,
Genvira Biosciences,genvira.com,3,CA,ON,exa,1,new,false,
Helix Biopharma,helixbiopharma.com,4,CA,ON,exa,1,new,false,
Houston Gene Therapeutics,houstongenetherapeutics.com,,US,TX,explorium,1,new,false,
ImmunoVec,immunovec.com,,US,,explorium,1,new,false,
Incisive Genetics,incisivegenetics.com,12,CA,BC,exa,1,new,false,
Inspire Biotherapeutics Inc,inspirebiotx.com,,CA,,explorium,1,new,false,
Leveragen,leveragen.com,,US,,explorium,1,new,false,
Medicenna Therapeutics,medicenna.com,20,CA,ON,exa,1,new,false,
MeiraGTx,meiragtx.com,,US,NY,perplexity,1,new,false,
Myosana Therapeutics,myosanatherapeutics.com,2,US,WA,exa,1,new,false,
Myrtelle Inc,myrtellegtx.com,,US,,perplexity,1,new,false,
Nanoscope Therapeutics,nanoscopetech.com,,US,TX,perplexity,1,new,false,
Navega Therapeutics,navegatx.com,6,US,CA,exa,1,new,false,
Nephrogen,nephrogenbiotech.com,,US,,explorium,1,new,false,
NeuExcell Therapeutics,neuexcell.com,,US,,explorium,1,new,false,
PAQ Therapeutics,paqtx.com,,US,,explorium,1,new,false,
Quantum BioPharma,quantumbiopharma.com,4,CA,ON,exa,1,new,false,
Recipharm Advanced Bio,recipharm-ab.com,,US,,explorium,1,new,false,
Scout Bio,scoutbio.co,,US,,explorium,1,new,false,
SpliceBio,splice.bio,,US,,perplexity,1,new,false,
Tavira Therapeutics,taviratx.com,7,US,,exa,1,new,false,
Theragene Pharmaceuticals,theragenepharma.com,,US,,explorium,1,new,false,
Zhongmou Therapeutics,zmtherapeutics.com,4,,,exa,1,new,true,verify: likely China-based
rAAVen Therapeutics,raaven.se,5,SE,,exa,1,new,true,non-us-ca: Sweden
uBriGene Biosciences Inc,ubrigene.com,18,,,exa,1,new,true,verify: likely China-based CDMO
4D Molecular Therapeutics,4dmoleculartherapeutics.com,,US,,supabase,1,existing_in_play,false,
Aavantibio Inc,aavantibio.com,,US,,supabase,1,existing_in_play,true,acquired
Abeona Therapeutics Inc,abeonatherapeutics.com,,US,,supabase,1,existing_in_play,false,
Adverum Biotechnologies,adverum.com,,US,,supabase,1,existing_in_play,false,
Affinia Therapeutics Inc,affiniatx.com,,US,,supabase,1,existing_in_play,false,
Akouos,akouos.com,,US,,supabase,1,existing_in_play,true,disqualified-in-enrichment
Ambulero,ambulero.com,,US,,supabase,1,existing_in_play,false,
American Gene Technologies Intl,americangene.com,,US,,supabase,1,existing_in_play,false,
Andelyn Biosciences,andelynbio.com,,US,,supabase,1,existing_in_play,false,
Applied Genetics Technologies Corp,agtc.com,,US,,supabase,1,existing_in_play,false,
AskBio Inc,askbio.com,,US,,supabase,1,existing_in_play,true,disqualified-in-enrichment
Astellas Gene Therapies,astellasgenetherapies.com,,US,,supabase,1,existing_in_play,true,acquired
Atsena Therapeutics,atsenatx.com,,US,,supabase,1,existing_in_play,false,
Audentes Therapeutics Inc,audentestx.com,,US,,supabase,1,existing_in_play,true,acquired
AveXis Inc,avexis.com,,US,,supabase,1,existing_in_play,true,acquired
Avirmax Inc,avirmax.com,,US,,supabase,1,existing_in_play,false,
Beacon Therapeutics,beacontx.com,,US,,supabase,1,existing_in_play,false,
BridgeBio Gene Therapy LLC,bridgebio.com,,US,,supabase,1,existing_in_play,false,
Capsida Biotherapeutics,capsida.com,,US,,supabase,1,existing_in_play,false,
Dyno Therapeutics,dynotx.com,,US,,supabase,1,existing_in_play,false,
ElevateBio,elevate.bio,,US,,supabase,1,existing_in_play,false,
Encoded Therapeutics,encoded.com,,US,,supabase,1,existing_in_play,false,
Expression Therapeutics LLC,expressiontherapeutics.com,,US,,supabase,1,existing_in_play,false,
Forge Biologics,forgebiologics.com,,US,,supabase,1,existing_in_play,false,
Genezen Laboratories,genezenlabs.com,,US,,supabase,1,existing_in_play,false,
Grace Science LLC,gracescience.com,,US,,supabase,1,existing_in_play,false,
Homology Medicines Inc,homologymedicines.com,,US,,supabase,1,existing_in_play,false,
Jaguar Gene Therapy,jaguargenetherapy.com,,US,,supabase,1,existing_in_play,false,
Kriya,kriyatherapeutics.com,,US,,supabase,1,existing_in_play,false,
Lacerta Therapeutics Inc,lacertatx.com,,US,,supabase,1,existing_in_play,false,
Lexeo Therapeutics,lexeotx.com,,US,,supabase,1,existing_in_play,false,
Locanabio Inc,locanabio.com,,US,,supabase,1,existing_in_play,false,
Neurogene Inc,neurogene.com,,US,,supabase,1,existing_in_play,false,
Ocugen Inc,ocugen.com,,US,,supabase,1,existing_in_play,false,
Odylia Therapeutics,odylia.org,,US,,supabase,1,existing_in_play,false,
Opus Genetics,opusgtx.com,,US,,supabase,1,existing_in_play,false,
PTC Therapeutics,ptcbio.com,,US,,supabase,1,existing_in_play,false,
Passage Bio Inc,passagebio.com,,US,,supabase,1,existing_in_play,false,
Prevail Therapeutics,prevailtherapeutics.com,,US,,supabase,1,existing_in_play,true,disqualified-in-enrichment
REGENXBIO Inc,regenxbio.com,,US,,supabase,1,existing_in_play,false,
Rejuvenate Bio,rejuvenatebio.com,,US,,supabase,1,existing_in_play,false,
Rocket Pharmaceuticals,rocketpharma.com,,US,,supabase,1,existing_in_play,false,
Sarepta Therapeutics Inc,sarepta.com,,US,,supabase,1,existing_in_play,false,
Shape Therapeutics Inc,shapetx.com,,US,,supabase,1,existing_in_play,false,
Sio Gene Therapies Inc,siogtx.com,,US,,supabase,1,existing_in_play,true,defunct
Solid Biosciences,solidbio.com,,US,,supabase,1,existing_in_play,false,
Spark Therapeutics Inc,sparktx.com,,US,,supabase,1,existing_in_play,true,disqualified-in-enrichment
Stridebio Inc,stridebio.com,,US,,supabase,1,existing_in_play,true,acquired
Taysha Gene Therapies,tayshagtx.com,,US,,supabase,1,existing_in_play,false,
Tenaya Therapeutics Inc,tenayatherapeutics.com,,US,,supabase,1,existing_in_play,false,
Ultragenyx Pharmaceutical Inc,ultragenyx.com,,US,,supabase,1,existing_in_play,false,
Virovek,virovek.com,,US,,supabase,1,existing_in_play,false,
Voyager Therapeutics Inc,voyagertherapeutics.com,,US,,supabase,1,existing_in_play,false,
XyloCor,xylocor.com,,US,,supabase,1,existing_in_play,true,disqualified-in-enrichment
