Company Name,Ellie's notes,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Contacts,Share
FUJIFILM Biotechnologies,,"For over 30 years, FUJIFILM Biotechnologies' mission has been advancing tomorrow’s medicine. As a CDMO, we work in partnership with the most innovative biopharma and biotech companies across the world who are reimagining healthcare’s potential. We help to accelerate their progress, expand their capabilities, streamline their processes, and strengthen their innovation. So when our customers’ potential cures, vaccines, biologics, and accomplishments make strides – or even become new realities for patients – we know our work, our manufacturing expertise, and our partnership helped make it happen. 

We aren't simply a workplace. FUJIFILM Biotechnologies a community and place of passion – a place of what we call Genki. A place where diverse perspectives and people come to life. Where opportunity for growth has no end. Where passion is followed, discovered, and nurtured. Where the energy is undeniable, enthusiasm is pervasive, and drive is infectious. All of our global locations burst with curiosity, inspiration, and extraordinary purpose. 

So as we continue to grow our teams, our global locations, and our capabilities, Genki will always be our cultural tie. That’s why we’re always looking for passionate, mission-driven people who want to commit their life’s work to enabling better outcomes for patients and their families. 

For a full listing of jobs that will propel, inspire, and fulfill you, please visit: https://fujifilmbiotechnologies.fujifilm.com/careers/

We created this space on LinkedIn to give people a window into our work and culture. We’re highlighting employees’ passion, current openings, and why it’s never been a more exciting time to join!",Biotechnology Research,"1,001-5,000 employees",Public Company,"Morrisville, North Carolina",North Carolina,Morrisville,United States,fujifilm.com,https://www.linkedin.com/company/fujifilm-biotechnologies,FUJIFILM Healthcare Americas Corporation,1704,,81211,Response,high,"From the Cell Line Development page: ""Our scalable ApolloX system is designed for quality and speed of delivery of monoclonal antibodies (mAbs) and a diverse range of CHO-expressed molecules, including bispecific antibody formats, Fc-fusion proteins and non-Fc containing recombinant proteins.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, multispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments. Verdict: yes (confidence: high). Evidence: From the Cell Line Development page: ""Our scalable ApolloX system is designed for quality and speed of delivery of monoclonal antibodies (mAbs) and a diverse range of CHO-expressed molecules, including bispecific antibody formats, Fc-fusion proteins and non-Fc containing recombinant proteins."".",Response,"bispecific antibodies, multispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments",Response,✅ 10 Results Found,Response,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/fujifilm-biotechnologies,"James Pullen, Pooja B Mehta, Mahalia C., Jason Goodwin, John Stewart, Clara Smith, Sean Salamander, Chris Lennon, Rajesh Kasiviswanathan, Chy-Anh Tran, JUNIOR GYAMERA, Jason Matthews, Gustav Green, Cecilie Cederberg, Fay Saunders, Esben Eggertsen, Simon Dewar, Sharyn Farnsworth, Travis Steiner, Jason Fairlee",checked
FUJIFILM Diosynth Biotechnologies,Diosynth has been acquired by Fuji,"For over 30 years, FUJIFILM Diosynth Biotechnology’s mission has been advancing tomorrow’s medicine. As a CDMO, we work in partnership with the most innovative biopharma and biotech companies across the world who are reimagining healthcare’s potential. We help to accelerate their progress, expand their capabilities, streamline their processes, and strengthen their innovation. So when our customers’ potential cures, vaccines, biologics, and accomplishments make strides – or even become new realities for patients – we know our work, our manufacturing expertise, and our partnership helped make it happen. 

We aren't simply a workplace. FUJIFILM Diosynth Biotechnologies a community and place of passion – a place of what we call Genki. A place where diverse perspectives and people come to life. Where opportunity for growth has no end. Where passion is followed, discovered, and nurtured. Where the energy is undeniable, enthusiasm is pervasive, and drive is infectious. All of our global locations burst with curiosity, inspiration, and extraordinary purpose. 

So as we continue to grow our teams, our global locations, and our capabilities, Genki will always be our cultural tie. That’s why we’re always looking for passionate, mission-driven people who want to commit their life’s work to enabling better outcomes for patients and their families. 

For a full listing of jobs that will propel, inspire, and fulfill you, please visit: fujifilmdiosynth.com/careers/

We created this space on LinkedIn to give people a window into our work and culture. We’re highlighting employees’ passion, current openings, and why it’s never been a more exciting time to join!",Biotechnology Research,"1,001-5,000 employees",Public Company,"Morrisville, North Carolina",North Carolina,Morrisville,United States,fujifilmdiosynth.com,https://www.linkedin.com/company/fujifilm-diosynth-biotechnologies,FUJIFILM Biotechnologies,5912,,164606,Response,high,"From the Biologics page: ""Explore our ApolloX™ mammalian cell line development, MaruX™ continuous manufacturing and other solutions for monoclonal antibodies (mAbs), non‑mAbs, fusion proteins and multispecifics.""",CDMO service provider,yes,"CDMO service provider developing multispecific antibodies, ADCs, Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From the Biologics page: ""Explore our ApolloX™ mammalian cell line development, MaruX™ continuous manufacturing and other solutions for monoclonal antibodies (mAbs), non‑mAbs, fusion proteins and multispecifics."".",Response,"multispecific antibodies, ADCs, Fc-fusion proteins",Response,✅ 10 Results Found,Response,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/fujifilm-diosynth-biotechnologies,,checked
PCI Pharma Services,"primarily fill-finish/packaging CDMO; would be a Simtra-type narrow/late-stage fit at best, and only if it touches ADC drug product. ","We are PCI Pharma Services. CDMO.

Today’s Drug Development & Manufacturing, Advanced Drug Delivery & Drug Device Combination Products, Clinical Trial Services, and Commercial Packaging Technology. Inspired by tomorrow.

We provide world-class solutions through intelligence, ingenuity and innovation, together, delivering life-changing therapies. Across 38 global sites and supported by more than 8,000 dedicated employees, we bring together leading technology and continued investment to deliver seamless solutions from development to commercialization, supporting our clients to improve the lives of patients worldwide.",Pharmaceutical Manufacturing,"5,001-10,000 employees",Privately Held,"Philadelphia, PA",PA,Philadelphia,United States,pci.com,https://www.linkedin.com/company/pciservices,PCI Pharma Services,4784,,88352,Response,high,"From the Acquisition page: ""the acquisition provides PCI with its first-ever North American manufacturing location for prefilled syringes and cartridges – including isolator technology for these formats – as well as high potent manufacturing suitable for antibody-drug conjugates (ADCs).""; From the Completes Acquisition page: ""The acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs).""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Acquisition page: ""the acquisition provides PCI with its first-ever North American manufacturing location for prefilled syringes and cartridges – including isolator technology for these formats – as well as high potent manufacturing suitable for antibody-drug conjugates (ADCs).""; From the Completes Acquisition page: ""The acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs)."".",Response,ADCs,Response,✅ 10 Results Found,Response,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/pciservices,"Brian Blagg, Aimee Hodge, Sean O'Hara, Aoife Kelly, Paul Ruther, Ricardo Hernández González-Tablas, Steve Taliadouros, Amanda Blackwell, Wayne Schermerhorn",checked
Exelixis,,"Every Exelixis employee is united in an ambitious cause: to transform science into new treatments that give cancer patients and their families hope for the future. In this pursuit, we know our employees are our most valuable asset. As a diverse, growing team, everyone at Exelixis plays a role in advancing our mission through our innovative drug discovery, development and commercialization efforts. We take pride in our shared purpose, knowing the magnitude of our impact expands with every medicine we create and every form of cancer tumor type we treat.

After operating in the challenging biotech sector for nearly three decades, we've evolved into a multi-platform cancer company with a proven track record of resiliency in the face of adversity. The success of our flagship commercial product set us up on our journey to discover and develop next-generation cancer treatments, driven by our relentless pursuit of results for the patients we serve. 

Cancer is our cause. Make it yours, too. 

Please see our Community Guidelines: bit.ly/4iBzJU0

For more information about Exelixis, please visit www.exelixis.com, follow @ExelixisInc on Twitter or like Exelixis, Inc. on Facebook.",Biotechnology Research,"1,001-5,000 employees",Public Company,"Alameda, California",California,Alameda,United States,exelixis.com,https://www.linkedin.com/company/exelixis,Exelixis,1549,1994,67412,Response,high,"From the Discovery Engine page: ""Much of our drug discovery activities focuses on discovering and advancing various biotherapeutics that have the potential to become anti-cancer therapies, such as bispecific antibodies, ADCs and other innovative treatments. Several biotherapeutic product candidates have progressed into clinical trials. ADU-1805* | XB010 | XB628 | XB371 | XB773""",developer,yes,"developer developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From the Discovery Engine page: ""Much of our drug discovery activities focuses on discovering and advancing various biotherapeutics that have the potential to become anti-cancer therapies, such as bispecific antibodies, ADCs and other innovative treatments. Several biotherapeutic product candidates have progressed into clinical trials. ADU-1805* | XB010 | XB628 | XB371 | XB773"".",Response,"bispecific antibodies, ADCs",Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/exelixis,"Manda Pasarkar, Engin Ayturk, Weijun L., Debola Banerjee, Bhas Dani, Purbasa Patnaik, Raj Haldankar, Sheila Chou, Tracy Zheng, Cristen Peterson, Becca Diederich, Qiuting Hong, Grace Li, Dharti Kothari, Wendy Yang, Linh Phan, Angie Titus",checked
KBI Biopharma,,"KBI Biopharma is an award-winning biopharmaceutical contract services organization providing fully-integrated, accelerated drug development and biomanufacturing services to pharmaceutical and biotechnology companies globally.

With each of our 500+ client partners, we have worked closely to personalize and rapidly accelerate their drug development programs. Built upon a foundation of world-class analytical capabilities, we deliver efficient process development and clinical and commercial cGMP manufacturing services for mammalian and microbial programs.

KBI is proud to be a JSR Life Sciences Company.",Biotechnology Research,"1,001-5,000 employees",Privately Held,"Durham, North Carolina",North Carolina,Durham,United States,kbibiopharma.com,https://www.linkedin.com/company/kbi-biopharma,KBI Biopharma,1692,1996,48758,Response,high,"From the Bispecifics Platform page: ""Our SUREtechnology Platform has successfully produced 36 bispecific antibody programs, 25 of which are currently in Human Clinical Trial stages.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From the Bispecifics Platform page: ""Our SUREtechnology Platform has successfully produced 36 bispecific antibody programs, 25 of which are currently in Human Clinical Trial stages."".",Response,"bispecific antibodies, Fc-fusion proteins",Response,✅ 10 Results Found,Response,confirmed,Returned 9 Jobs,https://www.linkedin.com/company/kbi-biopharma,"Sachin Dubey, Leslie Wolfe, Amanda Hoertz, Shaunak Uplekar, Greg Chrimes, Derek Ryan, Aaron Anders, Erik Nordwald, Adrian Blackburn",checked
"Avidity Biosciences, Inc.",,"DELIVERING ON OUR VISION
Our vision is to profoundly improve people’s lives by revolutionizing the delivery of RNA therapeutics. We’re utilizing our proprietary AOC platform to design, engineer, and develop therapeutics that combine the tissue selectivity of monoclonal antibodies (mAbs) with the precision of oligonucleotide-based therapies in order to redefine RNA therapeutics and more effectively target underlying genetic drivers of diseases. We are delivering on this vision by investing in our platform, our pipeline and our people.

Through this platform, we are pleased to share our ideas and company progress as we advance our science and overall mission to deliver breakthrough therapies to patients.",Biotechnology,201-500 employees,Public Company,"San Diego, California",California,San Diego,United States,aviditybiosciences.com,https://www.linkedin.com/company/avidity-biosciences-llc,"Avidity Biosciences, Inc.",452,,37447,Response,high,"From the Platform page: ""Antibody Oligonucleotide Conjugates (AOC) therapeutics are designed to combine the proven technology of monoclonal antibodies (mAbs) with the precision and potency of oligonucleotide therapies to access previously untreatable tissue and cell types...Utilizing our proprietary Antibody Oligonucleotide Conjugates (AOCs™) platform, Avidity was the first company to demonstrate the successful targeted delivery of RNA to muscle.""",developer,yes,"developer developing none. Verdict: yes (confidence: high). Evidence: From the Platform page: ""Antibody Oligonucleotide Conjugates (AOC) therapeutics are designed to combine the proven technology of monoclonal antibodies (mAbs) with the precision and potency of oligonucleotide therapies to access previously untreatable tissue and cell types...Utilizing our proprietary Antibody Oligonucleotide Conjugates (AOCs™) platform, Avidity was the first company to demonstrate the successful targeted delivery of RNA to muscle."".",Response,none,Response,✅ 10 Results Found,Response,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/avidity-biosciences-llc,,checked
"ImmunityBio, Inc.","DQ: Modality is IL-15 fusion protein (Anktiva), CAR-NK cell therapy, cancer vaccines. No bispecific/multispecific/ADC. Fusion-protein-only → out of scope this sprint. Modality mismatch and thinner reagent pull. ","ImmunityBio, Inc. (formerly NantKwest, Inc.) is developing cell and immunotherapy products that are designed to help strengthen each patient’s natural immune system, potentially enabling it to outsmart the disease and eliminate cancerous or infected cells. The activation of the innate immune system is key to the development of immunological memory.

Over the last two decades, our founder and Executive Chairman Dr. Patrick Soon-Shiong has investigated mechanisms to activate the immune system to attack tumors that can otherwise evade and escape the body’s defense mechanisms. After inventing the world’s first protein nanoparticle drug, Abraxane, Dr. Soon-Shiong turned his focus to the next generation of immunotherapies. ImmunityBio was founded in 2014 to create innovative immunotherapies that address serious unmet needs in oncology and infectious diseases.

""At ImmunityBio, we envision a day when we no longer fear cancer but are able to conquer it, thanks to the biological wonder that is the human immune system. Our scientists are working to develop remarkable new therapies that harness that inherent power by amplifying both branches of the immune system, attacking cancerous or infected cells today while building immunological memory for tomorrow. The goal: to reprogram the patient’s immune system and treat the host rather than just the disease."" -Dr. Patrick Soon-Shiong, Executive Chairman",Biotechnology Research,"501-1,000 employees",Public Company,"San Diego, CA",CA,San Diego,United States,immunitybio.com,https://www.linkedin.com/company/immunitybio,"ImmunityBio, Inc.",644,2014,34311,Response,high,"From the IR press release page: ""ANKTIVA (nogapendekin alfa inbakicept) is our lead biologic product and a first-in-class IL-15 receptor superagonist antibody-cytokine fusion protein.""",developer,yes,"developer developing immunocytokines. Verdict: yes (confidence: high). Evidence: From the IR press release page: ""ANKTIVA (nogapendekin alfa inbakicept) is our lead biologic product and a first-in-class IL-15 receptor superagonist antibody-cytokine fusion protein."".",Response,immunocytokines,Response,✅ 10 Results Found,Response,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/immunitybio,,checked
Simtra BioPharma Solutions,Sterile fill-finish (late drug-product stage) = thinner Teknova basket (formulation buffers/water),"As a premier, independently owned CDMO with over 65 years of sterile injectable manufacturing experience, Simtra BioPharma Solutions offers world-class cGMP sterile fill/finish, technical expertise, quality service, and a uniquely collaborative approach.  Pharmaceutical and biotech companies partner with us when they face formulation challenges, clinical supply hurdles, surges in demand due to market fluctuations, or risk mitigation concerns.  Our teams are driven to offer our clients tailored and versatile solutions to help them bring their products to market so they can get to the patients who need them.
(Simtra is a tradename of Baxter Oncology GmbH and Simtra US LLC)",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Parsippany, New Jersey",New Jersey,Parsippany,United States,simtra.com,https://www.linkedin.com/company/simtra-biopharma-solutions,Simtra BioPharma Solutions,1011,,30599,Response,high,"From the Home page: ""Simtra BioPharma Solutions and MilliporeSigma have forged a strategic alliance to streamline and accelerate the development and manufacturing of ADCs and other bioconjugates. The alliance represents quality-first ADC manufacturing and enables pharma and biopharma companies to focus on continued drug discovery.""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Home page: ""Simtra BioPharma Solutions and MilliporeSigma have forged a strategic alliance to streamline and accelerate the development and manufacturing of ADCs and other bioconjugates. The alliance represents quality-first ADC manufacturing and enables pharma and biopharma companies to focus on continued drug discovery."".",Response,ADCs,Running...,✅ 10 Results Found,Response,confirmed,Returned 7 Jobs,https://www.linkedin.com/company/simtra-biopharma-solutions,Amanda Davis,checked
Abzena,,"Abzena is the leading end-to-end bioconjugate, ADC, and complex biologics CDMO + CRO.  From discovery through commercial launch, we support customers with fully integrated programs or individual services designed to de-risk and streamline the development of new treatments for patients in need. With the ability to tailor its strategy and customer experience to each project, Abzena develops and implements innovative solutions that enable biotech and biopharma companies to realize the full potential of their molecule and move medicines forward faster. The company has research, development, and cGMP facilities across locations in San Diego, CA, Bristol, PA, and Cambridge, UK.",Pharmaceutical Manufacturing,"501-1,000 employees",Privately Held,"San Diego, California",California,San Diego,United States,abzena.com,https://www.linkedin.com/company/abzena,Abzena,434,2001,29460,Response,high,"From the Solutions page: ""End-to-end biologics CDMO + CRO services for modalities inc. mAbs, ADCs , AOCs , RDCs , fusion proteins, bispecifics & more underpinned by robust analytical capabilities across all phases of development.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, Fc-fusion proteins, radioimmunoconjugates. Verdict: yes (confidence: high). Evidence: From the Solutions page: ""End-to-end biologics CDMO + CRO services for modalities inc. mAbs, ADCs , AOCs , RDCs , fusion proteins, bispecifics & more underpinned by robust analytical capabilities across all phases of development."".",Response,"bispecific antibodies, ADCs, Fc-fusion proteins, radioimmunoconjugates",Response,✅ 10 Results Found,Response,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/abzena,"Dennis Yoon, Hamideh Keshavarz, Satendra Chauhan, Haiou Yang, Kevin Chang, Clayton Lutzow, Hiren Soni, Rudramurty Balla, Yongxia Guo, Simon Keen, Renu Goel, Gary Watts, Brett Verstak",checked
Avid Bioservices,,"Avid Bioservices is a biologics CDMO and partner focused on delivering quality, speed, and predictability from DNA to CGMP.

We support biotech and pharma companies across the full development lifecycle, with integrated capabilities in cell line development, process development, and CGMP manufacturing for clinical and commercial supply.

Our platforms are intentionally aligned from early development through manufacturing, enabling seamless tech transfer and reducing risk as programs scale.

Our approach is built on predictable delivery. We combine rapid timelines with disciplined execution, giving our partners confidence in both speed and outcomes.

With transparent communication and strong program management, our teams operate as an extension of our clients - ensuring clarity, accountability, and momentum at every stage.

Quality underpins everything we do. We have a strong regulatory track record and a commitment to operational excellence that enables consistent, reliable results from early-phase programs through commercial production. 

Our U.S.-based facilities provide a trusted, scalable manufacturing environment.

At Avid, our services are designed to solve a single problem: how to move biologics programs forward quickly and reliably without compromising quality. By aligning our capabilities, platforms, and teams around that goal, we help our partners accelerate development and deliver therapies to patients with confidence.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"Tustin, California",California,Tustin,United States,avidbio.com,https://www.linkedin.com/company/avid-bioservices,Avid Bioservices,361,2002,12309,Response,high,"From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions."".",Response,"bispecific antibodies, ADCs",Response,✅ 10 Results Found,Response,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/avid-bioservices,"Tatiana T. S. Mello, Charles Carrier, Gene Yoshioka",checked
