"Company Name","Domain","NAICS Code","Revenue Range","Stock Ticker","Company LinkedIn URL","Founded Year","Apollo Org ID","Employee Count","Industry","Description","Keywords"
"Arcturus Therapeutics","arcturusrx.com","541714","67.2M","ARCT","http://www.linkedin.com/company/arcturus-therapeutics","2013","54a122b369702d9a8ba86603","180","research","Arcturus Therapeutics Holdings Inc. is a biotechnology company based in San Diego, California, founded in 2013. The company specializes in the discovery, development, and commercialization of RNA medicines and vaccines targeting rare diseases, respiratory conditions, and infectious diseases. Arcturus utilizes advanced nucleic acid therapeutics and has developed proprietary platforms such as LUNAR® for RNA delivery and STARR® for self-amplifying mRNA technology. The company has made significant strides in its product pipeline, including KOSTAIVE® (ARCT-021), the first approved self-amplifying mRNA COVID-19 vaccine, authorized in Japan and the European Union. Arcturus is also developing therapies for rare diseases like ornithine transcarbamylase deficiency and has candidates for cystic fibrosis and influenza. With over 500 patents and applications worldwide, Arcturus is well-positioned in the biotechnology sector, supported by a diverse and experienced team.","drug delivery; innovation; cystic fibrosis; otc deficiency; nucleic acid medicines; sirna; lipidmediated delivery; therapeutics; covid19; starr; vaccines; hbv; mrna medicine; rare diseases; nanoparticles; rnai; lipids; lunar; partnerships; rna; development; coronavirus; leadership; discovery; mrna; glycogen storage disease; nanoparticles sirna rnai drug delivery; life sciences; biotechnology: pharmaceutical preparations; health care; biotechnology research; lipid nanoparticle delivery; una oligomer chemistry; biotechnology; rna therapeutics for otc deficiency; rna-based medicines; services; rna therapeutics for rare diseases; vaccine development; self-amplifying mrna; clinical-stage biotech; mrna vaccines; rna platform patents; covid-19 vaccine; rna vaccine technology; rna therapeutics for infectious diseases; rna therapeutics regulatory approval; rna drug development; rna platform; research and development in the physical, engineering, and life sciences; rna manufacturing; rna delivery platform; rna therapeutics clinical development; lunar lipid delivery; rna delivery technology; rna therapeutics for liver diseases; rna therapeutics; rna therapeutics partnerships; rna therapeutics for respiratory diseases; sa-mrna technology; rna therapeutics clinical trials; lunar delivery system; rna drug product manufacturing; government; rna therapeutics pipeline; rna therapeutics innovation; rna platform in japan; medical research; rnai delivery systems; rna therapeutics patent estate; mrna medicines; self-amplifying mrna vaccines; pharmaceuticals; rna therapeutics for cystic fibrosis; rna therapeutics pipeline management; rna drug substance; rare disease therapeutics; b2b; rna vaccine manufacturing; rna therapeutics patents; gene editing therapeutics; rna therapeutics regulatory strategy; rna therapeutics collaboration; rna therapeutics for pandemic influenza; rna platform licensing; messenger rna; multicultural team; lipid-mediated delivery; therapeutics for rare diseases; clinical development; mrna drug delivery; infectious disease vaccines; cystic fibrosis treatment; orphan drug designation; research and development; clinical trials; vaccine commercialization; biotherapeutics; investigational new drug; novel therapeutics; drug development; therapeutic candidates; immunogenicity; drug manufacturing expertise; coronavirus vaccine; rare disease therapies; mrna candidates; vaccine innovation; partnerships in biotechnology; vaccine safety; vaccine efficacy; therapeutic innovations; clinical pipeline; biopharma solutions; drug discovery; collaborative agreements; rnai technology; biotechnology partnerships; public health solutions; regulatory strategy; fda compliance; patient-centric therapies; commercial launch strategy; scientific research; vaccine approvals; pharmaceutical development; healthcare advancements; clinical research team; healthcare; manufacturing; distribution; health, wellness & fitness; medical; research & development; hospital & health care; mechanical or industrial engineering"
"RNA Therapeutics and Oligonucleotides","","","","","http://www.linkedin.com/company/rna-therapeutics-and-oligonucleotides","2023","654e09c38d2da400014e5fe0","","","",""
"Levostar Biotech","levostar.com","54171","","","http://www.linkedin.com/company/levostar-bio","","65c9f25d8b8d2d01c6edd493","6","research","LevoStar Bio is a biotechnology company that specializes in the production and testing of cell and gene therapy products, offering groundbreaking technologies and comprehensive solutions to the cell and gene therapy industry. The company's scope of business includes traceability compliance services, plasmid and mRNA production, CGT analytical testing services, and ready-to-use products, providing full-process coverage services from compliant synthesis to plasmid/mRNA production.","biotechnology research; next-generation sequencing; biotechnology; gene synthesis; monoplasmid platform; services; high supercoiled plasmids; custom plasmids; advanced therapy; rna synthesis; gene editing; cell and gene therapies; lnp delivery systems; plasmid process development; ivt rna; rna platform; synthetic biology; rna drugs; research and development in the physical, engineering, and life sciences; sarna synthesis; sarna manufacturing; nucleic acid drugs; in vivo car-t platform; custom circular rna (circrna); rna therapeutics; gene synthesis for complex sequences; circrna synthesis; sgrna synthesis; mrna production; lnp encapsulation; government; gene editing tools; high-quality nucleic acids; polya tail stabilization; lnp encapsulation for mrna; dna products; gene therapy support; rna modifications and customization; pharmaceuticals; lnp formulation; gene therapy; cell therapy support; rna quality control; b2b; end-to-end rna solutions; self-amplifying rna (sarna); end-to-end rna platform; circrna manufacturing; rna delivery systems; antibody development support; mrna synthesis; high supercoiled ratio plasmids; plasmid preparation; healthcare; manufacturing; medical; health care; health, wellness & fitness; hospital & health care; mechanical or industrial engineering"
"Precision NanoSystems is now part of Cytiva","precisionnanosystems.com","54171","8.5M","","http://www.linkedin.com/company/precision-nanosystems-inc-","2010","54a128f169702dab37807201","180","research","Precision NanoSystems, based in Vancouver, Canada, is a leader in technologies and solutions for developing and manufacturing nanomedicines, particularly lipid nanoparticles (LNPs) for genetic medicines such as mRNA vaccines. The company became part of Cytiva, a Danaher Corporation Life Sciences platform company, in June 2021, enhancing its capabilities in advanced therapeutics and gene editing. The company offers a comprehensive portfolio that includes pre-optimized LNP formulations, a library of custom lipids, and advanced formulation technologies. These products support drug development from early stages through clinical and commercial phases. Precision NanoSystems provides full workflow solutions, including analytical and regulatory support, and collaborates with partners like Aldevron and Replicate Bioscience to streamline mRNA programs and nanomedicine development. With a focus on innovation, it serves over 200 pharmaceutical and biotechnology companies across more than 20 countries.","biotechnology; medical; nanotechnology; life sciences; health care; biotechnology research; biopharma process development; lnp formulation services; rna therapeutics pipeline; consulting; lipid nanoparticle formulations; ionizable lipids; lipid libraries; medical research; rna delivery research; nanomedicine solutions; lnp manufacturing services; lipid nanoparticle design; gmp lipid libraries; gmp lipids; genetic medicine solutions; rna vaccine manufacturing; lnp optimization; biotech drug development; clinical stage bioprocessing; biopharma workflow solutions; nanomedicine formulation; services; lnp formulation optimization; rna delivery optimization; rna therapeutics support; biotech manufacturing; nanomedicine development; genomic medicine development; rna vaccine production; mrna vaccine development; lnp technology platform; rna delivery system optimization; rna drug delivery; lnp screening; biotech manufacturing solutions; rna therapeutics research; rna drug development support; nanoparticle drug delivery; lnp encapsulation efficiency; lnp formulation technology; genomic medicines; nanomedicine formulation technologies; rna delivery efficiency; biotech innovation; research and development in the physical, engineering, and life sciences; rna encapsulation; lnp formulation libraries; non-viral gene delivery; lipid nanoparticles; rna stability enhancement; lnp formulations; biopharmaceutical solutions; rna therapeutics manufacturing; rna encapsulation technology; lnp formulation development; gmp-grade lipids; pharmaceutical manufacturing; rna therapeutics; rna therapeutics workflow; biopharmaceutical manufacturing; nanomedicine innovation; rna delivery systems; rna delivery technologies; rna stability; rna delivery platform; rna therapeutics development; lipid nanoparticle technology; rna-based medicine development; mrna vaccines; lnp biodistribution optimization; rna therapeutics development services; rna delivery potency; rna-lnp drug development; lnp formulation; rna vaccine formulation; b2b; rna vaccine technology; biodistribution enhancement; rna-based medicines; rna delivery research tools; rna stability solutions; pharmaceuticals; rna pipeline support; biotech drug solutions; drug delivery technology; rna manufacturing services; lnp formulation screening; bioprocessing solutions; healthcare; manufacturing; distribution; health, wellness & fitness; hospital & health care; mechanical or industrial engineering"
"RaNA Therapeutics","translate.bio","","225M","TBIO","http://www.linkedin.com/company/rana-therapeutics","2011","5ed18537b92970000103f30a","13","biotechnology","RaNA Therapeutics, founded in 2011, was a biotechnology company dedicated to developing RNA-targeted medicines aimed at promoting healthy gene expression for genetic diseases. In early 2017, it rebranded as Translate Bio to better reflect its mission of enhancing therapeutic protein production through RNA platforms. The company was based in Cambridge, Massachusetts, and was co-founded by scientist Arthur Krieg. Translate Bio focused on mRNA-based therapeutics, particularly through its messenger RNA therapy (MRT) platform. This platform was expanded with the acquisition of Shire plc's MRT technology, enabling the development of treatments for conditions such as cystic fibrosis and ornithine transcarbamylase (OTC) deficiency. The company raised significant funding before its acquisition, emphasizing its commitment to addressing rare genetic diseases through innovative RNA science.","bioanalytical development; drug discovery; oligonucleotides; rna therapeutics; drug delivery; messenger rna; analytical development; nucleic acids; bioinformatics; lncrna; drug manufacturing; mrna; protein expression; cmc; biotechnology; life sciences; information technology & services"
"Recipharm Advanced Bio","recipharm-ab.com","325414","","","http://www.linkedin.com/company/recipharmadvancedbio","2022","5db9c2a5711ba200e7dd079c","190","pharmaceuticals","Recipharm Advanced Bio is a global contract development and manufacturing organization (CDMO) that specializes in advanced therapy medicinal products (ATMPs). As a division of Recipharm, it offers comprehensive services from preclinical development to commercial manufacturing. The company focuses on innovative biotherapeutics, including xRNA therapies, viral vectors, live biotherapeutic products, recombinant protein vaccines, plasmid DNA, and lipid nanoparticles. With facilities in Watertown, MA, Cuxhaven, Germany, and Portugal, Recipharm Advanced Bio supports a range of capabilities in biological modalities. Its services include process development, manufacturing, cell banking, and sterile fill-finish, all conducted in EU GMP-certified and FDA-licensed environments. The company emphasizes integrated operations to streamline project timelines and minimize risks, ensuring efficient delivery of therapies to patients worldwide. Recipharm Advanced Bio collaborates with leading innovators to enhance its offerings and contribute to global health advancements.","aseptic fillfinish; lipid nanoparticle formulation; regulatory support; technology transfer; continuous manufacturing; contract development & manufacturing; rna therapeutics; mrna manufacturing; oncolytic viruses; quality control testing; drug product manufacturing; viral vector manufacturing; plasmid dna production; microbial fermentation; analytical development; process development optimization; biologics manufacturing; advanced therapies; gmp manufacturing; cell & gene therapy; drug substance manufacturing; pharmaceutical manufacturing; pharmaceuticals; medical"
"Moderna","modernatx.com","54171","1.9B","MRNA","http://www.linkedin.com/company/modernatx","2010","54a1217669702d8ed486b102","5800","research","Moderna, Inc. is a biotechnology company based in Cambridge, Massachusetts, founded in 2010. The company specializes in messenger RNA (mRNA) technology to develop medicines and vaccines for various conditions, including infectious diseases, cancer, and rare genetic disorders. Originally named ModeRNA Therapeutics, Moderna has gained significant recognition for its COVID-19 vaccine, mRNA-1273, which was authorized for emergency use in December 2020. Moderna's innovative mRNA platform allows for the rapid development of treatments and vaccines by instructing cells to produce therapeutic proteins. The company has a diverse pipeline that includes candidates for infectious diseases like influenza and Zika, personalized cancer vaccines in collaboration with Merck, and treatments for rare diseases such as cystic fibrosis. Moderna has established partnerships with several pharmaceutical companies and agencies to advance its mRNA research and expand its therapeutic offerings. The company operates a manufacturing facility in Norwood, Massachusetts, and continues to grow its research capabilities.","biotechnology & mrna therapeutics; biotechnology; life sciences; biotechnology research; biotech global reach; oncology; biotech manufacturing; biotech innovation ecosystem; mrna medicines; biotech clinical development; biotech solutions; biotech pipeline development; biotech industry growth; healthcare impact; biotech innovation in healthcare; disease prevention; therapeutics; biotech products; cancer therapies; biopharmaceuticals; vaccine development; biotech pipeline; biotech manufacturing process; state-of-the-art facilities; global partnerships; personalized cancer vaccine; data security; mrna technology; rapid design; biotech advancements; clinical research; manufacturing; b2b; mrna platform; biotech partnerships; biotech research and development; rna platform; biotech innovation in vaccines; biotech development; personalized medicine; healthcare; biotech innovation in therapeutics; biotech innovation strategy; government; biotech collaborations; biotech innovation leadership; biotech innovation; medical research; research and development in the physical, engineering, and life sciences; rare disease treatment; immune response; medical innovation; vaccine platform; vaccine manufacturing; biotech company; biotech research; services; biotech therapies; collaborations; biotech industry; biotech innovation culture; clinical development; clinical trials; biotech r&d; pharmaceuticals; biotech platform; biotech; mrna vaccine; vaccines; covid-19 vaccine; rna technology; mrna therapeutics; biopharma; mrna pipeline; manufacturing facilities; immune system activation; biotech clinical trials; rare diseases; biotech innovation in medicine; messenger rna; immune system; drug discovery; rapid testing; healthcare solutions; platform technology; infectious diseases; drug manufacturing; healthcare innovation; patient access; cancer immunotherapy; gene therapy; mrna design; medicinal research; global health; sustainable practices; corporate responsibility; patient safety; public health; genetic engineering; vaccine assembly; medical advancements; patient empowerment; health equity; scientific research; advanced therapies; pharmaceutical production; vaccination programs; healthcare accessibility; therapeutic areas; laboratory research; biomolecular science; distribution; transportation & logistics; hospital & health care; computer & network security; information technology & services; mechanical or industrial engineering; health care; health, wellness & fitness; medical"
"Alliance for mRNA Medicines","mrnamedicines.org","54171","","","http://www.linkedin.com/company/alliance-for-mrna-medicines","","646bab20a877ec00a3d39801","29","research","The Alliance for mRNA Medicines (AMM) is a global organization dedicated to advancing mRNA and next-generation RNA therapeutics and vaccines. Launched on November 1, 2023, at the 11th International mRNA Health Conference in Berlin, AMM was founded by 31 biotechnology, biopharma, and life sciences companies and educational institutions. Its mission is to improve patients' lives and enhance scientific knowledge by bringing together industry leaders, innovators, and scientists. AMM focuses on five key areas: regulatory frameworks, standards development, education, access, and pandemic preparedness. The organization advocates for policies that support innovation and patient access to mRNA medicines across North America, Europe, and Asia. It offers services such as policy advocacy, scientific standards development, public education initiatives, industry networking, and support for research advancement in various mRNA applications. Founding members include notable organizations like BioNTech, CureVac, and Johns Hopkins University, with leadership provided by Andy Geall, the chairman of the AMM board.","biotechnology research; rna platform technologies; mrna policy; next-generation encoding rna; rna delivery systems; rna for rare diseases; mrna research; rna regulatory harmonization; research and development in the physical, engineering, and life sciences; rna in cancer therapy; manufacturing; b2b; rna public education; rna manufacturing; rna therapeutics development; rna vaccine advocacy; rna regulation; biotechnology; mrna education & training; rna molecule optimization; mrna therapeutics; rna misinformation combat; rna global policy; rna vaccine development; rna regulatory framework; rna innovation partnerships; healthcare; rna research collaboration; mrna global conferences; rna clinical trials; rna innovation; rna technology; rna industry leadership; mrna scientific advancement; rna education; government; rna conferences; rna vaccines; rna manufacturing standards; education; mechanical or industrial engineering; health care; health, wellness & fitness; hospital & health care"
"Virogin Biotech","virogin.com","54171","3.8M","","http://www.linkedin.com/company/viroginbiotech","2015","5e5724ccb1839b0001a68138","29","research","Virogin Biotech is a clinical-stage immuno-oncology company based in Vancouver, Canada. The company focuses on developing innovative therapies using HSV-1 based oncolytic virotherapy and mRNA-based therapeutics. Virogin aims to create impactful drugs for patients with significant medical needs, utilizing a combined oncolytic virus and mRNA vaccine therapy approach to enhance anti-tumor immune responses against solid tumors. The company's pipeline includes six oncolytic virus candidates, four mRNA vaccines, two therapeutic vaccines, two prophylactic vaccines, and one gene therapy. Notable assets include VG161, an oncolytic virus in Phase 2 trials for hepatocellular carcinoma, and several mRNA candidates in various stages of development targeting different solid tumors. Virogin's platforms are designed to work together, providing flexibility for independent development against cancer and other indications.","rd; biotechnology; innovation; oncology; tumour immunology; cancer; immunooncology; viruses; immunotherapy; biochemistry; rampd; clinical trials; biotechnology research; research and development in the physical, engineering, and life sciences; cancer immunology; mrna therapeutics; cancer immunology research; cancer vaccine development; cancer immunotherapy strategies; mrna vaccine; biotech partnerships; biotech for immuno-oncology; cancer therapy pipeline; pharmaceuticals; viral payload engineering; viral gene delivery system; heterologous prime-boost; viral payload design; biotech clinical development; cancer treatment; immune modulation; biotech collaborations; self-amplifying rna therapeutics; biotech development; immuno-oncology; oncolytic virus; viral vector design; cancer vaccine platform; biotech clinical trials; clinical-stage therapeutics; biotech research; b2b; biotech manufacturing; immune response enhancement; biotech pipeline; viral vector for cancer; cancer microenvironment; viral vector; viral vector manufacturing; viral payloads for immunotherapy; immunomodulatory payloads; vaccine development; self-amplifying rna; cancer vaccine research; immunology; hsv-1 oncolytic virus; viral oncolytic therapy; immuno-oncology research; cancer therapy; viral platform; hsv-1 based virus; biotech collaboration; mrna platform; immune response; immune activation; biopharmaceutical; sarna platform; viral payloads; heterologous prime-boost strategy; cancer immunotherapy platform; solid tumors; services; viral vector engineering; biotech for cancer; immune microenvironment modulation; oncolytic virus clinical trials; oncology therapeutics; viral payloads for tumors; cancer vaccine; cancer microenvironment targeting; viral gene therapy; viral gene delivery; biotech; cancer immunotherapy; oncolytic virotherapy; biotech innovation; healthcare; manufacturing; hospital & health care; health care; health, wellness & fitness; medical; mechanical or industrial engineering"
"Recode","recodetx.com","54171","22.2M","","http://www.linkedin.com/company/re-code-news","2014","5569e66d73696425b88bb300","480","online media","ReCode Therapeutics is a clinical-stage genetic medicines company based in Menlo Park, Texas, founded in 2015. The company focuses on developing targeted therapies for genetically defined diseases, particularly those with limited or no treatment options. ReCode utilizes a proprietary Selective Organ Targeting (SORT) lipid nanoparticle platform, which enhances the delivery of mRNA and gene correction therapies to organs beyond the liver. The company's pipeline primarily targets rare respiratory diseases, including cystic fibrosis and primary ciliary dyskinesia. Their lead programs employ SORT LNP technology for mRNA therapy and gene correction, aiming to address the underlying causes of these conditions. ReCode is committed to advancing innovative solutions in genetic medicine, leveraging its expertise in lipid nanoparticle and nucleic acid technologies.","technology news; technology reviews; conferences; events; media news; tech news; journalism; news; media; online audio & video media; b2b; gene editing; disease-specific gene therapies; tissue-specific targeting; mrna and gene correction therapies; multi-route administration; biotech strategic partnerships; multiple routes of administration; biotech research team; gene correction for cf; lung disease gene therapy; next-generation genetic medicines; non-viral crispr delivery; precision delivery; targeted gene therapy; modular lipid nanoparticles; therapeutic development; genetic therapy for cf; orphan drug; redosing capability; genetic engineering; modular lipid nanoparticle technology; targeted delivery of genetic cargo; mucociliary clearance; research and development in the physical, engineering, and life sciences; tissue-specific lipid nanoparticles; molecular delivery technologies; mrna therapy for respiratory diseases; engineered lipid nanoparticles; mucus-penetrating nanoparticles; biotech innovation strategy; biotech partnerships; oncology; genetic medicine platform; in vivo gene editing; clinical development; oncology genetic delivery; lung-targeted mrna therapy; biotech funding rounds; clinical development pipeline; gene therapy for lung diseases; targeted gene editing; genetic payload discovery; biotech industry leadership; chronic respiratory diseases; biotech collaborations; genetic cargo; musculoskeletal genetic therapy; non-viral gene delivery; clinical-stage biotech; biotech gene editing; pharmaceuticals; biotech research leadership; genetic medicine innovation; biotech clinical programs; genetic medicine redosing; genetic disease treatment; biotech pipeline; biotech leadership team; gene correction; biotech leadership; genetic medicines; rare disease pipeline; biotechnology; biotech research and innovation; biotech clinical trials; infectious disease gene therapy; tissue targeting nanoparticles; non-viral delivery; disease-modifying therapeutics; biotech therapeutic development; medical research; inhaled gene therapy; biotech strategic alliances; biotech genetic medicines; biotech investment; targeted gene therapy platforms; biotech pipeline expansion; mrna therapeutics; targeted genetic medicines; organs beyond liver targeting; precision genetic medicine; services; genetic payload engineering; crispr delivery; rare disease therapies; genetic medicines for liver; genetic medicines for cns; lipid nanoparticle platform; orphan drug development; genetic therapy for pcd; targeted gene correction; rare genetic diseases; genetic medicine research; biotech development pipeline; biotech delivery systems; genetic payload versatility; tissue-specific nanoparticle design; crispr/cas gene editing; biotech research and development; lung-specific gene therapy; next-generation lipid nanoparticles; biotech innovation platform; crispr/cas9 delivery; targeted genetic payloads; biotech innovation; crispr homology-directed repair; biotech therapeutic pipeline; rna-based therapies; mrna delivery technology; genetic medicine for rare diseases; gene therapy; lung-specific delivery; biotech research advances; biotech funding; genetic medicine delivery; targeted delivery system; organ-specific delivery; lipid nanoparticles; selective organ targeting; sort lnp platform; cystic fibrosis; primary ciliary dyskinesia; precision medicine; pharmaceutical development; clinical trials; biopharmaceutical; rna delivery; advanced therapies; rare diseases; drug delivery systems; crispr technology; pathogenic mutations; inhaled therapies; intravenous delivery; intrathecal administration; rare genetic disorders; liver disease; central nervous system; infectious diseases; patient-focused treatments; expanded access programs; drug development pipeline; disease-modifying treatments; biologically active compounds; therapeutic candidates; mrna delivery vehicles; payload optimization; therapeutic innovation; preclinical research; regulatory approvals; patient advocacy; evidence-based medicine; living with genetic diseases; healthcare; online media; hospital & health care; medical; health care; health, wellness & fitness"
