Company Name,Domain,NAICS Code,Revenue Range,Stock Ticker,Company LinkedIn URL,Founded Year,Apollo Org ID
"Arcturus Therapeutics","arcturusrx.com","541714","67.2M","ARCT","http://www.linkedin.com/company/arcturus-therapeutics","2013","54a122b369702d9a8ba86603"
"RNA Therapeutics and Oligonucleotides","","","","","http://www.linkedin.com/company/rna-therapeutics-and-oligonucleotides","2023","654e09c38d2da400014e5fe0"
"Levostar Biotech","levostar.com","54171","","","http://www.linkedin.com/company/levostar-bio","","65c9f25d8b8d2d01c6edd493"
"Precision NanoSystems is now part of Cytiva","precisionnanosystems.com","54171","8.5M","","http://www.linkedin.com/company/precision-nanosystems-inc-","2010","54a128f169702dab37807201"
"RaNA Therapeutics","translate.bio","","225M","TBIO","http://www.linkedin.com/company/rana-therapeutics","2011","5ed18537b92970000103f30a"
"Recipharm Advanced Bio","recipharm-ab.com","325414","","","http://www.linkedin.com/company/recipharmadvancedbio","2022","5db9c2a5711ba200e7dd079c"
"Moderna","modernatx.com","54171","1.9B","MRNA","http://www.linkedin.com/company/modernatx","2010","54a1217669702d8ed486b102"
"Alliance for mRNA Medicines","mrnamedicines.org","54171","","","http://www.linkedin.com/company/alliance-for-mrna-medicines","","646bab20a877ec00a3d39801"
"Virogin Biotech","virogin.com","54171","3.8M","","http://www.linkedin.com/company/viroginbiotech","2015","5e5724ccb1839b0001a68138"
"Recode","recodetx.com","54171","22.2M","","http://www.linkedin.com/company/re-code-news","2014","5569e66d73696425b88bb300"
